ColumnIndex,ColumnName
0,GameID
1,VisitingTeam
2,Inning
3,BattingTeam
4,Outs
5,Balls
6,Strikes
7,PitchSequence
8,VisScore
9,HomeScore
10,Batter
11,BatterHand
12,ResBatter
13,ResBatterHand
14,Pitcher
15,PitcherHand
16,ResPitcher
17,ResPitcherHand
18,Catcher
19,FirstBase
20,SecondBase
21,ThirdBase
22,Shortstop
23,LeftField
24,CenterField
25,RightField
26,FirstRunner
27,SecondRunner
28,ThirdRunner
29,EventText
30,LeadoffFlag
31,PinchHitFlag
32,DefensivePosition
33,LineupPosition
34,EventType
35,BatterEventFlag
36,ABFlag
37,HitValue
38,SHFlag
39,SFFlag
40,OutsOnPlay
41,DoublePlayFlag
42,TriplePlayFlag
43,RBIOnPlay
44,WildPitchFlag
45,PassedBallFlag
46,FieldedBy
47,BattedBallType
48,BuntFlag
49,FoulFlag
50,HitLocation
51,NumErrors
52,ErrorPlayer1
53,ErrorType1
54,ErrorPlayer2
55,ErrorType2
56,ErrorPlayer3
57,ErrorType3
58,BatterDest
59,RunnerOn1stDest
60,RunnerOn2ndDest
61,RunnerOn3rdDest
62,PlayOnBatter
63,PlayOnRunnerOn1st
64,PlayOnRunnerOn2nd
65,PlayOnRunnerOn3rd
66,SBForRunnerOn1stFlag
67,SBForRunnerOn2ndFlag
68,SBForRunnerOn3rdFlag
69,CSForRunnerOn1stFlag
70,CSForRunnerOn2ndFlag
71,CSForRunnerOn3rdFlag
72,POForRunnerOn1stFlag
73,POForRunnerOn2ndFlag
74,POForRunnerOn3rdFlag
75,ResponsiblePitcherForRunnerOn1st
76,ResponsiblePitcherForRunnerOn2nd
77,ResponsiblePitcherForRunnerOn3rd
78,NewGameFlag
79,EndGameFlag
80,PinchRunnerOn1st
81,PinchRunnerOn2nd
82,PinchRunnerOn3rd
83,RunnerRemovedForPinchRunnerOn1st
84,RunnerRemovedForPinchRunnerOn1st2nd
85,RunnerRemovedForPinchRunnerOn1st3rd
86,BatterRemovedForPinchHitter
87,PositionOfBatterRemovedForPinchHitter
88,FielderWithFirstPutout
89,FielderWithSecondPutout
90,FielderWithThirdPutout
91,FielderWithFirstAssist
92,FielderWithSecondAssist
93,FielderWithThirdAssist
94,FielderWithFourthAssist
95,FielderWithFifthAssist
96,EventNum
